GEOID,poptotal,gender_male,gender_female,age_0to4,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to59,age_60to64,age_65to74,age_75to84,age_85plus
860Z200US60482,11157,5728,5429,535,791,470,659,783,1449,1562,1375,981,759,1074,460,259
860Z200US60484,6678,2812,3866,686,307,596,636,456,1101,797,742,412,243,417,278,7
860Z200US60487,26336,13472,12864,1274,1424,2264,1593,1576,3383,3041,3440,2562,2256,2256,808,459
860Z200US60490,22497,11194,11303,1216,1583,2067,1792,1716,2601,3408,4024,1466,1015,1189,354,66
860Z200US60491,22897,11318,11579,1394,1317,1618,1320,1003,2214,2822,2508,1859,2291,2792,1154,605
860Z200US60501,11772,5935,5837,846,842,1034,831,730,1707,1495,1490,681,572,919,412,213
860Z200US60502,23066,11261,11805,1285,1597,2000,1948,902,2281,3784,3961,1563,1135,1875,661,74
860Z200US60503,16752,8111,8641,1264,1129,1608,1281,546,2261,3952,2008,1039,629,813,174,48
860Z200US60504,39454,19985,19469,3289,2730,3180,2370,2927,5830,5801,6706,2166,1683,1929,633,210
860Z200US60505,61702,30689,31013,3624,4835,5935,5318,4543,8289,10007,7749,2575,2524,4130,1524,649
860Z200US60506,49801,25255,24546,3057,3520,3753,4548,3491,6099,6924,6738,3025,2399,3705,1858,684
860Z200US60510,28696,14056,14640,2155,1704,2015,2053,1519,3418,3672,4080,2046,1725,2434,1312,563
860Z200US60511,1835,971,864,172,205,96,72,18,370,121,181,137,220,129,78,36
860Z200US60512,1089,404,685,0,170,0,128,0,122,47,358,110,0,0,154,0
860Z200US60513,19535,9023,10512,1294,1551,1264,1218,601,1780,3389,3025,1440,1457,1478,711,327
860Z200US60514,9722,4773,4949,547,733,873,1002,262,625,1463,1473,588,772,663,605,116
860Z200US60515,29144,13986,15158,1346,2260,1957,1741,1366,3086,3254,4341,2138,2174,3229,1714,538
860Z200US60516,29163,14396,14767,1935,1713,1709,1423,1357,3562,3752,3347,2420,2001,3871,1383,690
860Z200US60517,33318,16849,16469,1937,2217,2297,1913,2138,4714,4875,4139,2668,2626,2648,826,320
860Z200US60518,3650,1922,1728,229,243,149,228,244,502,314,491,305,342,352,187,64
860Z200US60519,40,24,16,0,0,0,0,0,0,0,8,0,10,22,0,0
860Z200US60520,2888,1508,1380,160,165,265,268,254,277,355,347,308,175,210,83,21
860Z200US60521,18004,9124,8880,1129,1584,1809,1498,411,854,2571,3119,1170,1114,1714,787,244
860Z200US60523,10173,4670,5503,368,522,572,453,454,512,1135,866,886,509,1917,1419,560
860Z200US60525,31681,15437,16244,1772,1756,2811,2069,1458,2559,3608,4720,2286,2317,3571,1769,985
860Z200US60526,13572,6473,7099,993,1027,1006,931,570,997,2090,2002,732,667,1500,469,588
860Z200US60527,28589,14019,14570,1439,1577,1422,1480,1081,2669,3294,3532,2328,2417,4523,1898,929
860Z200US60530,791,453,338,19,58,28,65,111,71,112,167,35,58,31,18,18
860Z200US60531,2073,1040,1033,85,125,192,146,52,193,416,290,123,164,177,80,30
860Z200US60532,29144,15348,13796,1845,1843,1613,1433,2027,4433,4215,3257,2446,1701,2396,1290,645
860Z200US60534,10647,5305,5342,988,994,497,448,433,1463,1594,1338,666,497,943,676,110
860Z200US60536,122,55,67,16,19,4,1,9,29,12,13,3,8,2,3,3
860Z200US60537,653,392,261,39,33,69,27,37,92,86,130,22,26,71,19,2
860Z200US60538,29725,15124,14601,1844,2345,2466,3216,2144,3923,4959,3320,1677,1104,1675,759,293
860Z200US60539,212,170,42,0,6,6,7,45,57,0,43,48,0,0,0,0
